BookYear,JulianDay,DaysSept1,DateFull,Weightkg
2008,32,174,2/1/09,2.95
2008,32,174,2/1/09,2.55
2008,32,174,2/1/09,2.475
2008,32,174,2/1/09,2.7
2008,32,174,2/1/09,3.15
2008,32,174,2/1/09,2.825
2009,32,174,2/1/10,2.625
2009,32,174,2/1/10,3.45
2009,32,174,2/1/10,2.95
2009,32,174,2/1/10,2.95
2009,32,174,2/1/10,3
2009,32,174,2/1/10,2.925
2009,32,174,2/1/10,2.775
2009,32,174,2/1/10,2.9
2009,32,174,2/1/10,3.1
2009,32,174,2/1/10,3.65
2009,32,174,2/1/10,2.95
2009,32,174,2/1/10,3.2
2009,32,174,2/1/10,2.475
2009,32,174,2/1/10,2.875
2009,32,174,2/1/10,2.35
2009,32,174,2/1/10,2.375
2009,32,174,2/1/10,3.25
2009,32,174,2/1/10,3.15
2009,32,174,2/1/10,2.675
2009,32,174,2/1/10,3
2009,32,174,2/1/10,2.075
2010,32,174,2/1/11,2.675
2010,32,174,2/1/11,2.55
2010,32,174,2/1/11,2.95
2010,32,174,2/1/11,2.7
2010,32,174,2/1/11,2.9
2010,32,174,2/1/11,2.4
2010,32,174,2/1/11,2.7
2010,32,174,2/1/11,3.7
2013,32,174,2/1/14,2.95
2013,32,174,2/1/14,2.9
2013,32,174,2/1/14,3.09
2013,32,174,2/1/14,3
2013,32,174,2/1/14,2.85
2013,32,174,2/1/14,2.75
2013,32,174,2/1/14,3.15
2013,32,174,2/1/14,3.03
2013,32,174,2/1/14,2.15
2013,32,174,2/1/14,3.65
2016,32,174,2/1/17,3.15
2016,32,174,2/1/17,2.9
2016,32,174,2/1/17,2.7
2016,32,174,2/1/17,2.65
2016,32,174,2/1/17,3.7
2016,32,174,2/1/17,2.75
2016,32,174,2/1/17,2.725
2016,32,174,2/1/17,2.95
2016,32,174,2/1/17,3.35
2016,32,174,2/1/17,3.35
2016,32,174,2/1/17,3
2016,32,174,2/1/17,2.425
2017,32,174,2/1/18,3.05
2017,32,174,2/1/18,2.85
2017,32,174,2/1/18,3.25
2017,32,174,2/1/18,2.85
2017,32,174,2/1/18,3.15
2017,32,174,2/1/18,2.34
2017,32,174,2/1/18,2.6
2017,32,174,2/1/18,3.25
2017,32,174,2/1/18,3.25
2017,32,174,2/1/18,2.8
2017,32,174,2/1/18,2.5
2017,32,174,2/1/18,2.9
2018,32,174,2/1/19,2.8
2018,32,174,2/1/19,2.72
2018,32,174,2/1/19,3.2
2018,32,174,2/1/19,2.9
2018,32,174,2/1/19,2.9
2018,32,174,2/1/19,3.35
2018,32,174,2/1/19,3.25
2018,32,174,2/1/19,2.9
2018,32,174,2/1/19,2.23
2019,32,174,2/1/20,3
2019,32,174,2/1/20,2.55
2019,32,174,2/1/20,2.95
2019,32,174,2/1/20,2.5
2019,32,174,2/1/20,3.25
2019,32,174,2/1/20,3.05
2019,32,174,2/1/20,2.65
2019,32,174,2/1/20,2.55
2019,32,174,2/1/20,2.95
2019,32,174,2/1/20,3
2019,32,174,2/1/20,2.95
2022,32,174,2/1/23,3.1
2022,32,174,2/1/23,2.65
2022,32,174,2/1/23,3.55
2022,32,174,2/1/23,3.6
2022,32,174,2/1/23,3.7
2022,32,174,2/1/23,3.05
2022,32,174,2/1/23,3.25
2022,32,174,2/1/23,3.1
2022,32,174,2/1/23,3.05
2022,32,174,2/1/23,2.6
2022,32,174,2/1/23,2.75
2022,32,174,2/1/23,2.45
2022,32,174,2/1/23,3.3
